,Location.No.,Road.Name,Lat,Long,Survey.Date,District,road_width,crash_count,outcome,car_vol,mtw_vol,m3w_vol,bus_vol,LCV_vol,HCV_vol,cycle_vol,cyr_vol,ecyr_vol,total_vol,origin_segment_for_speed_calculation,destination_segment_for_speed_calculation,speed_00.30,speed_01.30,speed_02.30,speed_03.30,speed_04.30,speed_05.30,speed_06.30,speed_07.30,speed_08.30,speed_09.30,speed_10.30,speed_11.30,speed_12.30,speed_13.30,speed_14.30,speed_15.30,speed_16.30,speed_17.30,speed_18.30,speed_19.30,speed_20.30,speed_21.30,speed_22.30,speed_23.30,average_speed,pop_100m_buffer,length_segment
35,35,Najafgarh Road ,28.63413,77.08904,27-02-2018,West ,10,0,0,6331,12351,1331,459,372,89,1511,384,1373,24201,"28.6334284536363, 77.08717527915579","28.63467659515416, 77.09103172506518",30.15,31.46086957,32.89090909,34.45714286,37.10769231,40.2,32.89090909,27.83076923,24.52881356,19.55675676,17.02588235,14.32871287,14.91958763,17.64878049,17.64878049,19.296,19.55675676,20.67428571,17.43614458,16.63448276,18.55384615,20.97391304,25.38947368,29.53469388,24.19563345,3414.895077,2558.83
36,36,Pankha Road ,28.62042,77.071851,27-02-2018,South West ,10,1,1,5741,7774,889,882,383,226,750,442,2592,19679,"28.61959252519893, 77.0736806186311","28.621327804140716, 77.07007319469632",34.45714286,37.10769231,38.08421053,37.10769231,36.18,38.08421053,28.944,25.84285714,24.12,21.6,20.67428571,20.38309859,20.1,20.67428571,20.38309859,21.92727273,20.97391304,20.67428571,18.79480519,16.82790698,16.82790698,18.79480519,24.12,28.944,25.48447792,3800.639411,3926.22
37,37,Rohtak Road ,28.67272,77.14861,28-02-2018,North West ,12,0,0,7399,14360,2905,425,2056,108,622,269,67,28211,"28.672912786832548, 77.1465708690733","28.67241447828848, 77.15063822779835",46.56774194,46.56774194,46.56774194,48.12,53.46666667,53.46666667,49.77931034,46.56774194,45.1125,39.01621622,37.01538462,35.2097561,37.98947368,39.01621622,39.01621622,39.01621622,39.01621622,41.24571429,42.45882353,42.45882353,41.24571429,43.74545455,45.1125,43.74545455,43.39684549,4954.945798,3175.04
38,38,Shivaji Marg ,28.66491,77.15868,28-02-2018,West ,9,0,0,4549,7371,2034,385,861,149,327,438,559,16673,"28.66417236643647, 77.15682168630059","28.66556232256807, 77.16060642616503",36.09,36.09,39.01621622,37.98947368,40.1,41.24571429,40.1,39.01621622,33.57209302,27.23773585,27.23773585,26.73333333,26.24727273,26.73333333,25.77857143,26.24727273,25.77857143,25.32631579,21.87272727,21.54626866,23.28387097,24.46779661,27.76153846,31.3826087,30.45227777,3950.564893,3780.48
39,39,Azad Hind Fauz Marg ,28.60964,77.03454,05-03-2018,South West ,10,0,0,6245,9016,745,371,197,110,547,79,303,17613,"28.611378295085, 77.03396494089915","28.60790764492048, 77.03509876240726",45.1125,42.45882353,43.74545455,46.56774194,48.12,46.56774194,43.74545455,35.2097561,39.01621622,35.2097561,37.98947368,35.2097561,37.01538462,36.09,40.1,41.24571429,39.01621622,37.98947368,36.09,35.2097561,36.09,37.98947368,39.01621622,42.45882353,39.88598888,2046.0934,2821.54
40,40,Dabri Gurgaon Road ,28.58505,77.06431,05-03-2018,South West ,11,1,1,3859,3662,537,279,157,90,349,136,452,9521,"28.583277311002256, 77.06289110293491","28.5862265871869, 77.06538869297243",32.00869565,34.24186047,35.91219512,36.81,37.75384615,34.24186047,30.675,26.29285714,23.7483871,23.00625,21.03428571,18.17777778,20.16986301,21.03428571,16.73181818,23.37142857,23.37142857,22.30909091,20.16986301,19.632,21.65294118,24.9559322,26.77090909,30.04897959,26.00506482,661.04556,2295.69
41,41,August Kranti Marg ,28.56079,77.2216,06-03-2018,South ,9,0,0,8468,4841,2798,233,234,79,406,97,2,17158,"28.559624650983153, 77.22003670391265","28.562194398123417, 77.22289950951992",39.21081081,39.21081081,40.3,41.45142857,39.21081081,42.67058824,40.3,37.2,36.27,31.53913043,29.60816327,29.60816327,29.016,29.016,29.016,29.60816327,29.60816327,29.016,28.44705882,26.86666667,29.016,33.73953488,33.73953488,36.27,33.7474595,2547.349684,6227.87
42,42,Lal Bahadur Shastri Marg ,28.53885,77.232,06-03-2018,South ,13,0,0,11302,6749,4213,753,351,215,498,75,8,24164,"28.537058479631032, 77.23200436281282","28.540682723049496, 77.232048263725",26.93333333,28.51764706,27.96923077,29.088,29.088,30.3,27.96923077,25.07586207,20.2,8.657142857,8.868292683,12.22184874,12.43076923,13.22181818,13.98461538,18.18,12.53793103,9.323076923,7.614659686,9.505882353,15.15,22.725,25.51578947,26.93333333,19.25047766,833.525532,1729.78
43,43,Mahatma Gandhi Marg ,28.65981,77.12915,07-03-2018,West ,15,0,0,14629,6142,1810,568,1077,680,21,5,9,24941,"28.65826392646286, 77.12822185036603","28.661617422106506, 77.12929214217789",43.74545455,43.74545455,45.1125,45.1125,46.56774194,46.56774194,48.12,48.12,45.1125,41.24571429,39.01621622,35.2097561,29.46122449,32.80909091,28.872,30.075,24.88965517,19.50810811,14.436,11.64193548,13.12363636,20.92173913,41.24571429,39.01621622,34.73649582,1475.766364,1219.84
44,44,Mahatma Gandhi Marg ,28.6808,77.14271,07-03-2018,North West ,15,0,0,17507,8918,3231,869,1872,707,368,188,69,33729,"28.679216320106292, 77.1417618360667","28.68189913541494, 77.14439213848948",48.48,51.94285714,51.94285714,51.94285714,50.15172414,53.86666667,51.94285714,51.94285714,48.48,45.45,44.07272727,38.27368421,35.47317073,38.27368421,38.27368421,39.30810811,37.29230769,37.29230769,35.47317073,29.088,27.44150943,36.36,44.07272727,44.07272727,42.95460356,2956.288504,1038.28
45,45,Vikaspuri Flyover ,28.66392,77.09197,08-03-2018,West ,11,0,0,7867,7439,1076,105,451,156,390,140,56,17680,"28.660697987731645, 77.0914743488647","28.664272254544034, 77.09200623682645",37.01538462,39.01621622,41.24571429,41.24571429,45.1125,62.76521739,57.744,57.744,55.52307692,51.55714286,51.55714286,51.55714286,51.55714286,51.55714286,49.77931034,51.55714286,51.55714286,51.55714286,48.12,48.12,48.12,49.77931034,53.46666667,40.1,49.47309392,2865.46237,7727.07
46,46,Rohtak Road ,28.67853,77.10393,08-03-2018,West ,15,1,1,7459,10742,2296,627,2070,660,717,328,294,25193,"28.67880440897404, 77.10191156080614","28.67822171207053, 77.10595757902122",30,34.28571429,34.28571429,35.12195122,37.89473684,37.89473684,28.8,26.66666667,24.40677966,21.81818182,20.86956522,20,20.28169014,21.17647059,20.86956522,23.22580645,10.99236641,14.84536082,13.09090909,14.4,13.98058252,18.46153846,21.17647059,17.14285714,23.40365268,1550.720812,5886.42
47,47,Outer Ring Road ,28.64879,77.24576,09-03-2018,Central ,17,1,1,10011,4007,5165,961,1265,271,140,203,21,22044,"28.646858824182523, 77.2464250097712","28.65030572346394, 77.2451548504624",36.27,36.27,35.38536585,36.27,38.17894737,34.54285714,36.27,34.54285714,34.54285714,34.54285714,30.86808511,25.45263158,24.18,31.53913043,31.53913043,32.24,31.53913043,28.44705882,27.9,26.86666667,27.9,33.73953488,36.27,33.73953488,32.45986021,2391.43798,2382.81
48,48,GT Karnal Road ,28.66679,77.21719,09-03-2018,Central ,12,0,0,4545,8476,2464,431,1163,145,200,429,164,18017,"28.66734565129588, 77.21451514263272","28.66672986886275, 77.2175708769846",35.53548387,37.9862069,37.9862069,39.34285714,40.8,39.34285714,36.72,34.425,30.6,20.02909091,7.597241379,8.8128,9.18,9.415384615,14.88648649,12.10549451,8.8128,9.579130435,18.36,19.67142857,17.48571429,25.03636364,31.47428571,32.4,24.06603469,3015.494418,1258.69
49,49,Nangloi Najafgarh ,28.62528,76.99225,12-03-2018,South West ,8,1,1,2407,4219,125,388,192,381,272,202,228,8414,"28.6240316913596, 76.99077041452716","28.626505851945844, 76.99376406372542",36.09,36.09,37.01538462,36.09,37.01538462,35.2097561,35.2097561,35.2097561,33.57209302,35.2097561,30.71489362,30.075,30.71489362,30.71489362,30.71489362,32.08,32.08,32.80909091,33.57209302,28.30588235,28.872,28.872,31.3826087,32.80909091,32.93455113,1951.65832,2121.54
50,50,Delhi Rohtak Road ,28.68266,77.02728,12-03-2018,West ,14,3,1,6512,4931,152,295,1160,1002,216,79,72,14419,"28.682797966165225, 77.02520894033366","28.682491607235978, 77.02931309228553",35.29756098,39.11351351,38.08421053,38.08421053,39.11351351,38.08421053,31.46086957,28.944,24.95172414,21.92727273,20.67428571,12.16134454,17.22857143,15.075,19.296,20.1,20.67428571,21.92727273,14.472,14.76734694,18.79480519,22.97142857,24.52881356,30.79148936,25.35515541,2932.885014,12748.02
